CVE	Problem
CVE-2025-0053	CWE-209
CVE-2025-0054	CWE-79
CVE-2025-0055	CWE-497
CVE-2025-0056	CWE-497
CVE-2025-0057	CWE-434
CVE-2025-0058	CWE-639
CVE-2025-0059	CWE-497
CVE-2025-0060	CWE-94
CVE-2025-0061	CWE-497
CVE-2025-0062	CWE-79
CVE-2025-0063	CWE-89
CVE-2025-0064	CWE-732
CVE-2025-0066	CWE-732
CVE-2025-0067	CWE-862
CVE-2025-0068	CWE-862
CVE-2025-0069	CWE-427
CVE-2025-0070	CWE-287
CVE-2025-0071	CWE-532
CVE-2025-0108	CWE-306
CVE-2025-0111	CWE-610
CVE-2025-0159	CWE-288
CVE-2025-0160	CWE-114
CVE-2025-0162	CWE-611
CVE-2025-0168	CWE-89
CVE-2025-0169	CWE-79
CVE-2025-0170	CWE-79
CVE-2025-0173	CWE-89
CVE-2025-0174	CWE-89
CVE-2025-0175	CWE-79
CVE-2025-0177	CWE-269
CVE-2025-0180	CWE-269
CVE-2025-0181	CWE-288
CVE-2025-0195	CWE-89
CVE-2025-0196	CWE-89
CVE-2025-0197	CWE-89
CVE-2025-0198	CWE-89
CVE-2025-0199	CWE-89
CVE-2025-0200	CWE-89
CVE-2025-0201	CWE-89
CVE-2025-0203	CWE-89
CVE-2025-0204	CWE-89
CVE-2025-0205	CWE-89
CVE-2025-0206	NVD-CWE-noinfo
CVE-2025-0207	CWE-89
CVE-2025-0208	CWE-89
CVE-2025-0210	CWE-89
CVE-2025-0211	NVD-CWE-Other
CVE-2025-0212	CWE-89
CVE-2025-0213	CWE-434
CVE-2025-0214	CWE-89
CVE-2025-0214	CWE-74
CVE-2025-0215	CWE-79
CVE-2025-0218	CWE-330
CVE-2025-0219	CWE-79
CVE-2025-0219	CWE-94
CVE-2025-0220	CWE-79
CVE-2025-0220	CWE-94
CVE-2025-0221	CWE-476
CVE-2025-0222	CWE-476
CVE-2025-0223	CWE-476
CVE-2025-0224	CWE-200
CVE-2025-0224	CWE-284
CVE-2025-0225	CWE-23
CVE-2025-0225	CWE-25
CVE-2025-0226	CWE-200
CVE-2025-0226	CWE-284
CVE-2025-0227	CWE-200
CVE-2025-0227	CWE-284
CVE-2025-0228	CWE-79
CVE-2025-0229	CWE-89
CVE-2025-0230	CWE-89
CVE-2025-0231	CWE-89
CVE-2025-0232	CWE-89
CVE-2025-0233	CWE-89
CVE-2025-0282	CWE-787
CVE-2025-0283	CWE-787
CVE-2025-0290	CWE-835
CVE-2025-0291	CWE-843
CVE-2025-0295	CWE-79
CVE-2025-0295	CWE-94
CVE-2025-0295	CWE-94
CVE-2025-0296	CWE-89
CVE-2025-0296	CWE-74
CVE-2025-0296	CWE-89
CVE-2025-0297	CWE-89
CVE-2025-0297	CWE-74
CVE-2025-0297	CWE-89
CVE-2025-0300	CWE-89
CVE-2025-0300	CWE-74
CVE-2025-0301	CWE-79
CVE-2025-0302	CWE-190
CVE-2025-0303	CWE-120
CVE-2025-0304	CWE-416
CVE-2025-0308	CWE-89
CVE-2025-0311	CWE-79
CVE-2025-0314	CWE-79
CVE-2025-0316	CWE-288
CVE-2025-0318	NVD-CWE-noinfo
CVE-2025-0321	CWE-79
CVE-2025-0327	CWE-269
CVE-2025-0332	CWE-22
CVE-2025-0334	CWE-89
CVE-2025-0334	CWE-74
CVE-2025-0335	CWE-434
CVE-2025-0336	CWE-89
CVE-2025-0339	CWE-79
CVE-2025-0340	CWE-89
CVE-2025-0341	CWE-284
CVE-2025-0341	CWE-434
CVE-2025-0342	CWE-79
CVE-2025-0342	CWE-94
CVE-2025-0344	CWE-89
CVE-2025-0344	CWE-74
CVE-2025-0345	CWE-89
CVE-2025-0345	CWE-74
CVE-2025-0346	CWE-434
CVE-2025-0347	CWE-89
CVE-2025-0348	CWE-79
CVE-2025-0348	CWE-94
CVE-2025-0349	CWE-119
CVE-2025-0349	CWE-121
CVE-2025-0350	CWE-79
CVE-2025-0352	CWE-639
CVE-2025-0353	CWE-79
CVE-2025-0357	CWE-434
CVE-2025-0365	CWE-22
